Col1:IMonitor1, Col2:IMonitor2, Col3: VL, Col4: Timestamp[us], Col5:error_code|| Configuración de Ganancias GMonitorI1=10[V/V],GMonitorI2=50[V/V],GV1=0.00340[V/V]|| (f(x)=x*k+b);kI1=0.0016113[A], bI1=-0.0552832[A],kI2=0.0001611[A], bI2=-0.0072510[A], kV1=0.0033999
[V]54,606,3571,607283834,0
65,535,3560,607302807,0
34,462,3566,607318071,0
103,496,3560,607333323,0
57,302,3560,607348608,0
47,282,3562,607367584,0
105,408,3565,607382851,0
92,531,3572,607398070,0
111,195,3569,607413238,0
55,508,3566,607432128,0
39,206,3563,607453770,0
60,499,3561,607468934,0
48,241,3568,607484257,0
117,622,3571,607499466,0
90,495,3550,607514675,0
36,304,3560,607529887,0
70,566,3561,607545209,0
68,332,3567,607560478,0
50,490,3546,607577488,0
66,262,3559,607592694,0
55,274,3555,607609773,0
84,654,3541,607624934,0
38,567,3552,607640222,0
47,144,3567,607655435,0
44,448,3564,607672474,0
60,242,3566,607687698,0
38,284,3567,607703104,0
101,147,3562,607718388,0
96,497,3568,607735348,0
88,369,3555,607750500,0
43,417,3550,607769494,0
44,334,3552,607784742,0
39,611,3567,607799931,0
42,587,3567,607815143,0
76,262,3557,607830360,0
108,576,3567,607845668,0
44,639,3568,607860888,0
40,539,3564,607876109,0
30,358,3564,607891323,0
34,241,3562,607906640,0
70,580,3559,607921860,0
150,628,3565,607937120,0
33,617,3564,607952334,0
41,588,3553,607967585,0
52,345,3563,607982868,0
98,190,3556,607998069,0
95,399,3564,608013281,0
43,140,3568,608028483,0
86,197,3547,608043742,0
42,1428,3557,608059038,0
45,166,3566,608074299,0
98,657,3551,608095750,0
87,529,3548,608111077,0
52,497,3554,608126334,0
114,147,3552,608141542,0
52,238,3548,608156766,0
57,523,3555,608171987,0
97,660,3550,608187364,0
39,505,3565,608202600,0
62,350,3545,608217825,0
96,653,3557,608233045,0
80,253,3561,608248356,0
59,193,3567,608263573,0
42,469,3567,608278841,0
79,398,3570,608294052,0
45,379,3553,608309305,0
110,564,3562,608324565,0
74,339,3558,608339829,0
37,163,3549,608355037,0
116,625,3556,608370298,0
64,312,3563,608385577,0
41,627,3563,608404518,0
136,559,3563,608419766,0
47,634,3557,608434978,0
40,464,3571,608450289,0
127,323,3551,608465506,0
27,154,3566,608480766,0
67,411,3572,608495969,0
40,553,3567,608511221,0
70,392,3558,608526482,0
37,102,3551,608541734,0
55,267,3551,608556934,0
66,381,3548,608572194,0
53,566,3564,608587408,0
37,442,3562,608602663,0
50,137,3556,608617871,0
68,446,3572,608633129,0
37,174,3568,608648384,0
108,414,3570,608663699,0
155,579,3548,608679647,0
