0.0145,	-0.0005,	12.0629,	2017-05-30 15:11:47.800112
0.0113,	0.0000,	12.0561,	2017-05-30 15:11:47.803466
0.0097,	-0.0003,	12.0935,	2017-05-30 15:11:47.806900
0.0129,	0.0003,	12.0561,	2017-05-30 15:11:47.810337
0.0113,	0.0000,	12.0595,	2017-05-30 15:11:47.813749
0.0113,	0.0002,	12.0663,	2017-05-30 15:11:47.817116
0.0145,	0.0002,	12.0527,	2017-05-30 15:11:47.820481
0.0161,	-0.0002,	12.0663,	2017-05-30 15:11:47.823879
0.0113,	0.0000,	12.0595,	2017-05-30 15:11:47.827347
0.0161,	0.0000,	12.0663,	2017-05-30 15:11:47.830768
0.0113,	-0.0002,	12.0561,	2017-05-30 15:11:47.834114
0.0145,	-0.0002,	12.0663,	2017-05-30 15:11:47.837470
0.0193,	0.0005,	12.0629,	2017-05-30 15:11:47.840920
0.0145,	-0.0005,	12.0663,	2017-05-30 15:11:47.844369
0.0113,	0.0000,	12.0663,	2017-05-30 15:11:47.847744
0.0113,	0.0002,	12.0561,	2017-05-30 15:11:47.851109
0.0193,	-0.0002,	12.0731,	2017-05-30 15:11:47.854471
0.0193,	0.0003,	12.0527,	2017-05-30 15:11:47.857906
0.0113,	-0.0006,	12.0561,	2017-05-30 15:11:47.861442
0.0113,	0.0002,	12.0459,	2017-05-30 15:11:47.864707
0.0129,	-0.0003,	12.0799,	2017-05-30 15:11:47.868096
0.0145,	-0.0003,	12.0595,	2017-05-30 15:11:47.871461
0.0193,	-0.0006,	12.0629,	2017-05-30 15:11:47.874801
0.0097,	0.0005,	12.0595,	2017-05-30 15:11:47.878174
0.0177,	0.0000,	12.0697,	2017-05-30 15:11:47.881518
0.0145,	0.0003,	12.0663,	2017-05-30 15:11:47.884903
0.0161,	-0.0002,	12.0425,	2017-05-30 15:11:47.888351
0.0129,	-0.0002,	12.0561,	2017-05-30 15:11:47.891783
0.0097,	0.0003,	12.0459,	2017-05-30 15:11:47.895218
0.0161,	0.0003,	12.0663,	2017-05-30 15:11:47.898515
0.0145,	0.0000,	12.0663,	2017-05-30 15:11:47.901886
0.0129,	0.0000,	12.0833,	2017-05-30 15:11:47.905380
0.0145,	-0.0002,	12.0765,	2017-05-30 15:11:47.908665
0.0129,	0.0002,	12.0527,	2017-05-30 15:11:47.912010
0.0161,	0.0002,	12.0561,	2017-05-30 15:11:47.915471
0.0129,	0.0003,	12.0731,	2017-05-30 15:11:47.918831
0.0177,	-0.0002,	12.0459,	2017-05-30 15:11:47.922245
0.0129,	0.0002,	12.0493,	2017-05-30 15:11:47.925590
0.0161,	0.0000,	12.0561,	2017-05-30 15:11:47.929022
0.0129,	0.0000,	12.0459,	2017-05-30 15:11:47.932385
